"Model","AUC","Accuracy","Sensitivity","Specificity","F1","cutoff"
"RF",0.9477,0.9904,0.697,1,0.8214,0.487
"XGBoost",0.9399,0.9904,0.7576,0.998,0.8333,0.8037
"GBM",0.9251,0.9124,0.8485,0.9145,0.381,0.5667
"SVM",0.9092,0.9605,0.7576,0.9672,0.5495,0.1979
"NNet",0.8645,0.8229,0.8182,0.8231,0.2269,0.6739
"LASSO",0.852,0.7969,0.697,0.8002,0.179,0.5431
"Logistic",0.8503,0.7045,0.8788,0.6988,0.1589,0.3997
"KNN",0.8499,0.9076,0.7879,0.9115,0.3514,0.1125
"CART",0.8467,0.8633,0.8788,0.8628,0.29,0.5527
"NB",0.8294,0.6372,0.9394,0.6272,0.1412,0.0062
