"","serum_copper","serum_zinc","serum_iron","serum_selenium","smoking","drinking","BMI","sedentary_time","CVD","hypertension","diabetes","cancer","COPD"
"serum_copper",1,0.9999,0.2031,0.9999,0.063,0.0929,0.1536,0.1752,0.1156,0.1309,0.0899,0.1165,0.1163
"serum_zinc",0.9999,1,0.2032,0.9998,0.063,0.0929,0.1536,0.1751,0.1155,0.1308,0.0899,0.1164,0.1163
"serum_iron",0.2031,0.2032,1,0.203,0.3186,0.4859,0.4416,0.7776,0.645,0.7319,0.2644,0.6486,0.6482
"serum_selenium",0.9999,0.9998,0.203,1,0.0628,0.0929,0.1536,0.1751,0.1155,0.1308,0.0899,0.1164,0.1163
"smoking",0.063,0.063,0.3186,0.0628,1,0.3574,0.1124,0.3902,0.4704,0.4278,0.1162,0.474,0.4732
"drinking",0.0929,0.0929,0.4859,0.0929,0.3574,1,0.2575,0.5081,0.5693,0.5512,0.1496,0.5717,0.571
"BMI",0.1536,0.1536,0.4416,0.1536,0.1124,0.2575,1,0.3053,0.2354,0.2726,0.5397,0.2366,0.2363
"sedentary_time",0.1752,0.1751,0.7776,0.1751,0.3902,0.5081,0.3053,1,0.7943,0.8689,0.2887,0.7984,0.7979
"CVD",0.1156,0.1155,0.645,0.1155,0.4704,0.5693,0.2354,0.7943,1,0.8664,0.2348,0.994,0.9932
"hypertension",0.1309,0.1308,0.7319,0.1308,0.4278,0.5512,0.2726,0.8689,0.8664,1,0.2701,0.8709,0.8701
"diabetes",0.0899,0.0899,0.2644,0.0899,0.1162,0.1496,0.5397,0.2887,0.2348,0.2701,1,0.236,0.2358
"cancer",0.1165,0.1164,0.6486,0.1164,0.474,0.5717,0.2366,0.7984,0.994,0.8709,0.236,1,0.9981
"COPD",0.1163,0.1163,0.6482,0.1163,0.4732,0.571,0.2363,0.7979,0.9932,0.8701,0.2358,0.9981,1
